,pickup_hour,pickup_weekday,average_fare,total_rides,total_fare,average_trip_distance,average_percent_tip
40,5,5,17.27583103363014,351857,6078622.08,4.93694216684619,11.656136842417094
41,5,6,17.610069716259908,354867,6249232.610000002,5.053593938010573,11.491613152505806
42,6,0,13.151972334731882,1087067,14297075.10999998,3.500174322281873,14.543339811401587
43,6,1,12.039924378866534,1156555,13924834.739999987,3.098817617839184,14.838964253829806
44,6,2,12.12945352369016,1171414,14208611.669999987,3.1298424638940716,14.935311031090428
45,6,3,12.370763412497896,1185126,14660913.359999985,3.2033196470248777,14.99311624695961
46,6,4,12.983523499290532,1136779,14759396.859999992,3.4177046637912967,14.79054692153964
47,6,5,15.59085384666848,508206,7923365.470000002,4.40202429723379,12.162007829614506
48,6,6,17.421283024355134,419501,7308245.650000002,5.027647276168596,11.840467561749682
49,7,0,12.46429789925015,1769511,22055712.240000032,2.960611259268837,15.780759106033134
50,7,1,11.802759891651075,1995774,23555641.320000034,2.677160414956835,16.144211338563668
51,7,2,11.798342644256566,2045089,24128660.760000017,2.6766128026702343,16.241858810159275
52,7,3,11.864764031206349,2061120,24454702.44000003,2.696025966464851,16.27343292991206
53,7,4,12.038732837635644,1924560,23169263.67000005,2.7934270170844315,16.051221902185116
54,7,5,13.375987152606108,756418,10117837.450000007,3.6017156783683126,13.53057141303874
55,7,6,15.013939305931412,595676,8943443.310000002,4.197689868317672,12.864431278646213
56,8,0,12.691019118216824,2121746,26927119.050000075,2.7144604443698603,16.152260429373037
57,8,1,12.270806037580453,2369691,29078018.63000006,2.4799446467915134,16.449266305972
58,8,2,12.429081715613403,2439081,30315537.06000006,2.4577366598321184,16.6100411551666
59,8,3,12.46547109379261,2440289,30419351.99000008,2.47703703946544,16.64480892362408
60,8,4,12.351052187696991,2322808,28689122.83000007,2.556069550302912,16.410978144898205
61,8,5,12.047791466869855,1141785,13755987.58,3.0292359857591187,14.241182296828198
62,8,6,12.909620005600516,903487,11663673.849999996,3.4117663231457613,13.850291168480869
63,9,0,12.968038428924697,2023684,26243211.880000044,2.717157782539147,15.699594089304126
64,9,1,12.767954842221048,2232395,28503118.550000057,2.5092156450807233,15.959149019440124
65,9,2,12.69903927137703,2287493,29048963.440000053,2.4833262746596474,16.0965655882162
66,9,3,13.114359395199347,2289680,30027686.42000003,2.4974012132699785,16.130253272396928
67,9,4,12.815777670829087,2208743,28306759.220000044,2.5683173370555163,15.837429482938461
68,9,5,11.231093503319846,1613932,18126221.200000007,2.6530667153262923,14.504555861919988
69,9,6,11.795289476463484,1325600,15635835.729999995,2.9739039302957107,14.134889892875524
70,10,0,13.446976063056251,1877182,25242421.42000006,2.8291966841787164,14.792259231844909
71,10,1,13.065164463427744,2065444,26985365.550000057,2.6142216685613433,15.177076326770027
72,10,2,13.486248605766404,2111375,28474528.150000043,2.596260091172792,15.272029045877149
73,10,3,13.413373693633654,2124117,28491575.09000004,2.6215024360710912,15.265602719832636
74,10,4,13.143584226575813,2075491,27279390.77000006,2.695505473162756,14.881139384642001
75,10,5,11.339331743404296,1932581,21914177.080000013,2.595362140060398,14.43142404915056
76,10,6,11.717685963298655,1783040,20893102.780000035,2.859010515748384,14.281058493192045
77,11,0,13.27313154487095,1901298,25236178.46000005,2.8075604245099988,14.462566442443665
78,11,1,13.175071024217155,2078446,27383673.67000005,2.702664312664358,14.79730839203968
79,11,2,13.29111524096446,2159883,28707253.86000004,2.5938036736249312,14.83971327472502
80,11,3,13.708875220409276,2155649,29551523.160000034,2.638306792989024,14.894241287337591
81,11,4,13.314977567698634,2134645,28422750.29000005,2.6830460708923485,14.500023080655895
82,11,5,11.543670640773964,2138929,24691091.900000013,2.5336896222361736,14.347462804953926
83,11,6,11.806723222161756,2024678,23904812.76000002,2.7608789447013438,14.44168560556707
84,12,0,13.189244120275994,2004856,26442535.21000005,2.8459739352851434,14.39431569769021
85,12,1,13.226925413216277,2186567,28921558.62000008,2.6431150932031997,14.694199793988851
86,12,2,13.789485375490258,2259939,31163395.79000008,2.661415122266587,14.688094459187221
87,12,3,13.722611212235273,2250809,30886976.82000007,2.734038916673963,14.757740984571669
88,12,4,13.45650852896875,2229871,30006278.13000007,2.766167894914111,14.517861891156842
89,12,5,11.902178236307346,2324532,27666994.17999999,2.5590233173817403,14.251926501128962
90,12,6,12.294876856068655,2205468,27115957.47000003,2.8329845003418965,14.474178797302699
91,13,0,13.403044254670238,2036689,27297832.80000007,3.001978510219295,14.340656925879028
92,13,1,13.490032729424655,2196800,29634903.900000084,2.8188096276402206,14.62048408380703
93,13,2,13.837014122103064,2264252,31330486.90000011,2.8376050103963735,14.603911864234052
94,13,3,14.149134063421554,2256805,31931836.50000009,2.9357061110729488,14.652823797952927
95,13,4,13.816316679084828,2244032,31004256.75000009,2.949468946966889,14.405038560626965
96,13,5,12.316426858422144,2370519,29196323.880000006,2.6424618321979283,14.011159581387231
97,13,6,13.512421225818287,2236710,30223367.680000026,3.0073492719217336,14.331835443777294
98,14,0,13.644606024473813,2212409,30187449.170000084,3.0851460150451566,14.322453540892925
99,14,1,13.68017768132411,2364289,32343893.610000104,2.8892232717743336,14.5647289351189
100,14,2,14.07505171006768,2382128,33528574.780000106,2.9407957632839112,14.690044658650164
101,14,3,14.46715483429178,2424140,35070408.72000007,3.0208215655861514,14.638774665795818
102,14,4,14.223772474864527,2440671,34715548.99000008,2.9915591859779584,14.328923159637872
103,14,5,12.821867613343567,2295609,29433994.69000001,2.820948223325493,13.921025057624776
104,14,6,13.754236370385811,2246652,30900982.650000025,3.205325137137413,14.175134371116748
105,15,0,13.666561703744149,2269214,31012353.15000008,2.9694182258703026,14.470254999466341
106,15,1,13.56136603373519,2359971,32004430.56000007,2.8144709701941193,14.670046404340615
107,15,2,13.949074647083357,2357922,32890829.99000008,2.8585426447524678,14.768052978393367
108,15,3,14.390489646518109,2377123,34207963.92000007,2.9264869592360254,14.678371473813858
109,15,4,14.173947668922938,2369720,33588287.27000007,2.8791781476292653,14.352208494712718
110,15,5,12.927285503141627,2343694,30297601.47000001,2.813330537177651,13.85484662294188
111,15,6,14.10253747487665,2182729,30782017.520000037,3.2812565233705153,14.252192296420569
112,16,0,13.969102560995994,2145962,29977163.27000009,3.086921045200252,15.74575421384183
113,16,1,14.099213016204354,2160845,30466213.950000104,2.947499404168275,16.01428297838475
114,16,2,14.461614210131495,2148636,31072744.91000009,2.98375973408247,16.00002644963976
115,16,3,14.8513136367818,2141627,31805974.270000096,3.0599016635483234,15.942770182940668
116,16,4,14.616109806337393,2155759,31508810.26000009,3.001825125164752,15.53269492477386
117,16,5,12.891438621609714,2232227,28776617.36,2.7701151316599955,13.853189826180305
118,16,6,14.0628862133439,2136138,30040265.63000001,3.2805228313901003,14.416347331875755
119,17,0,12.991943964965573,2445363,31770019.070000105,2.8701673739236515,16.470568414904225
120,17,1,13.210195567388633,2512740,33193786.810000114,2.7289191082245066,16.703320237146823
121,17,2,13.705923530863345,2516597,34492286.040000096,2.748259749177162,16.627023529158517
